City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Margate,GB,51.3813,1.3862,44.31,92,100,5.01,overcast clouds
293,Severnoye,RU,56.3491,78.3619,2.86,81,6,9.01,clear sky
294,Charlestown,AU,-32.95,151.6667,86.11,64,96,4.0,light rain
295,Belaya Gora,RU,68.5333,146.4167,-40.14,99,25,4.52,scattered clouds
296,Bilma,NE,18.6853,12.9164,55.45,45,0,10.16,clear sky
297,Abalak,RU,58.1286,68.5944,3.72,84,6,8.99,clear sky
298,Mogadishu,SO,2.0371,45.3438,82.02,62,29,20.56,scattered clouds
299,Celendin,PE,-6.8703,-78.1517,53.02,93,100,2.3,light rain
300,Tazovskiy,RU,67.4667,78.7,-3.12,85,15,11.41,few clouds
301,Sao Filipe,CV,14.8961,-24.4956,76.57,59,86,7.07,overcast clouds
302,Cabo Rojo,PR,18.0866,-67.1457,74.68,81,0,5.5,clear sky
303,Fernandina Beach,US,30.6697,-81.4626,44.58,92,75,0.0,fog
304,Gazanjyk,TM,39.2446,55.5154,60.4,27,100,1.61,overcast clouds
305,Kourou,GF,5.1552,-52.6478,76.1,90,91,4.59,overcast clouds
306,Villa Sandino,NI,12.0483,-84.9936,67.87,93,26,10.42,scattered clouds
307,Santa Marta,CO,11.2408,-74.199,81.9,77,94,12.95,overcast clouds
308,Hovd,MN,48.0056,91.6419,-0.42,90,100,4.27,overcast clouds
309,Tibacuy,CO,4.3511,-72.4564,75.78,79,100,1.45,moderate rain
310,Dzhankoy,UA,45.7167,34.4,37.09,77,8,8.23,clear sky
311,Kiri Buru,IN,22.0833,85.35,74.8,45,92,2.48,overcast clouds
312,Gaya,IN,24.7833,85.0,64.31,82,75,10.36,mist
313,Alice Springs,AU,-23.7,133.8833,96.22,43,5,11.5,clear sky
314,Jijiga,ET,9.35,42.8,70.92,17,100,7.16,overcast clouds
315,Nurota,UZ,40.5614,65.6886,48.29,27,7,3.96,clear sky
316,Amalapuram,IN,16.5833,82.0167,86.38,41,32,6.62,scattered clouds
317,San Quintin,MX,30.4833,-115.95,59.59,46,0,1.86,clear sky
318,Qeshm,IR,26.9581,56.2719,76.87,46,0,4.68,clear sky
319,Yaan,NG,7.3833,8.5667,75.74,14,73,4.97,broken clouds
320,Bambanglipuro,ID,-7.95,110.2833,84.72,69,99,12.35,overcast clouds
321,Hami,CN,42.8,93.45,32.99,35,100,3.69,overcast clouds
322,Umm Lajj,SA,25.0213,37.2685,68.43,56,0,13.67,clear sky
323,Kamenka,RU,51.3223,42.7678,27.75,96,100,7.2,overcast clouds
324,San Rafael,AR,-34.6177,-68.3301,74.41,40,4,8.03,clear sky
325,Sibolga,ID,1.7427,98.7792,77.31,88,100,2.71,overcast clouds
326,Chipata,ZM,-13.6333,32.65,70.21,85,100,3.6,light rain
327,Pulandian,CN,39.3953,121.9669,46.53,45,0,9.4,clear sky
328,Theodoriana,GR,39.4356,21.21,35.13,72,0,5.26,clear sky
329,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.4,86,32,8.46,scattered clouds
330,Katangli,RU,51.7102,143.2326,20.46,95,100,8.84,light snow
331,Tiznit,MA,29.5833,-9.5,56.64,36,20,7.56,few clouds
332,Mindelo,CV,16.8901,-24.9804,71.15,83,0,13.8,clear sky
333,Linfen,CN,36.0889,111.5189,43.34,34,75,3.71,broken clouds
334,Lagos,NG,6.5833,3.75,76.78,88,5,5.19,clear sky
335,Flinders,AU,-34.5833,150.8552,86.18,60,80,5.99,light rain
336,Grand Baie,MU,-20.0182,57.5802,79.68,69,0,2.98,clear sky
337,Aklavik,CA,68.2191,-135.0107,-16.85,96,100,6.22,overcast clouds
338,Constancia,MX,24.2231,-107.1869,51.22,62,100,2.86,overcast clouds
339,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,27.93,97,100,6.33,overcast clouds
340,Abu Dhabi,AE,24.4667,54.3667,67.96,76,0,3.0,clear sky
341,Cairns,AU,-16.9167,145.7667,88.11,65,55,6.91,broken clouds
342,Grand Gaube,MU,-20.0064,57.6608,79.43,69,0,1.99,clear sky
